№,Приоритет,Проверка,Ожидаемый результат
25,Средний,Ошибка в слове («кордиган»),"Исправляет ошибку, появляется сообщение “По запросу «кардиган» найдено”, отображается список соответствующих запросу товаров"
26,Низкий,Пропущенная буква («колгтки»),"Исправляет ошибку, появляется сообщение “По запросу «колготки» найдено”, отображается список соответствующих запросу товаров"
Длина строки:,,,
27,Высокий,"Товар, одно слово кириллицей («платье»)","Появляется сообщение “По запросу «платье» найдено”, отображается список соответствующих запросу товаров"
28,Средний,Одна буква («н»),"Появляется сообщение “По запросу «н» найдено”, отображается список товаров, в названии которых есть буква «н»"
29,Средний,"Текст содержащий 300 символов
(граница по ТЗ)",Текст полностью вводится в строку
30,Средний,Текст содержащий 301 символ (превышение границы),Текст обрезается после 300-ого символа
31,Средний,"Текст, содержащий 10 млн символов
(поиск технологической границы)",
32,Низкий,Пустое поле,Не ищет товары
Поиск по фото,,,
Поиск по фото разных форматов:,,,
33,Высокий,"JPG, разрешение больше 200*200пикс, размер меньше 8мб","Появляется сообщение “Поиск по фото”, отображается список товаров, визуально похожих на загруженное фото"
34,Высокий,"JPEG, разрешение больше 200*200пикс, размер меньше 8мб",
35,Высокий,"PNG, разрешение больше 200*200пикс, размер меньше 8мб",
36,Высокий,"BMP, разрешение больше 200*200пикс, размер меньше 8мб",
37,Высокий,"GIF, разрешение больше 200*200пикс, размер меньше 8мб",
38,Средний,"SVG, разрешение больше 200*200пикс, размер меньше 8мб","Появляется сообщение “Ошибка загрузки фото!

Фотография должна соответствовать следующим правилам:

ширина фотографии не меньше 200 пикселей;
высота фотографии не меньше 200 пикселей;
«вес» фотографии не превышает 8 Мб;
поддерживаются только следующие расширения файлов: JPG, JPEG, PNG, BMP, GIF.”"
Поиск по фото разного веса:,,,
39,Высокий,"Фото поддерживаемого формата («JPG»), больше 200х200 px, меньше 8 МБ","Появляется сообщение “Поиск по фото”, отображается список товаров, визуально похожих на загруженное фото"
40,Высокий,"Фото поддерживаемого формата («JPG»), больше 200х200 px, 8 МБ
(граница по ТЗ)",
41,Средний,"Фото поддерживаемого формата («JPG»), больше 200х200 px, 1 КБ",
42,Средний,"Фото поддерживаемого формата («JPG»), больше 200х200 px, 8.1 МБ
(превышение границы)

","Появляется сообщение “Ошибка загрузки фото!

Фотография должна соответствовать следующим правилам:

ширина фотографии не меньше 200 пикселей;
высота фотографии не меньше 200 пикселей;
«вес» фотографии не превышает 8 Мб;
поддерживаются только следующие расширения файлов: JPG, JPEG, PNG, BMP, GIF.”"
43,Средний,"Фото поддерживаемого формата («JPG»), больше 200х200 px, 2 ГБ
(поиск технологической границы)

",
Поиск по фото разных размеров,,,
44,Высокий,"Фото поддерживаемого формата («JPG»), весом меньше 8 МБ, 200х200 px (длина/ширина)
(нижняя граница по ТЗ)","Появляется сообщение “Поиск по фото”, отображается список товаров, визуально похожих на загруженное фото"
45,Высокий,"Фото поддерживаемого формата («JPG»), весом меньше 8 МБ, 200х201 px
(пограничное значение ширины)",
46,Высокий,"Фото поддерживаемого формата («JPG»), весом меньше 8 МБ, 201х200 px
(пограничное значение длины)",
47,Низкий,"Фото поддерживаемого формата («JPG»), весом меньше 8 МБ, 200х300px
(значение ширины внутри класса)",
48,Низкий,"Фото поддерживаемого формата(«JPG»), весом меньше 8 МБ, 300×200px
(значение длины внутри класса)",
49,Средний,"Фото поддерживаемого формата(«JPG»), весом меньше 8 МБ, 200×100000px
(поиск технологической границы ширины)","Появляется сообщение “Ошибка загрузки фото!

Фотография должна соответствовать следующим правилам:

ширина фотографии не меньше 200 пикселей;
высота фотографии не меньше 200 пикселей;
«вес» фотографии не превышает 8 Мб;
поддерживаются только следующие расширения файлов: JPG, JPEG, PNG, BMP, GIF.”"
50,Средний,"Фото поддерживаемого формата(«JPG»), весом меньше 8 МБ, 100000×200px
(поиск технологической границы длины)",
51,Средний,"Фото поддерживаемого формата («JPG»), весом меньше 8 МБ, 199х200px
(длина меньше границы по ТЗ)",
52,Средний,"Фото поддерживаемого формата («JPG»), весом меньше 8 МБ, 200х199px (ширина меньше границы по ТЗ)",
